date,total_portfolio_value,unallocated_capital,daily_return
2022-12-05,2500000.0,2450721.5,0.0
2022-12-06,2500000.0,2351155.6528320312,0.0
2022-12-07,2500000.0,2201841.9497070312,0.0
2022-12-08,2500000.0,2152936.8129882812,0.0
2022-12-09,2500000.0,2053697.2126159668,0.0
2022-12-12,2500000.0,1953921.747089386,0.0
2022-12-13,2500000.0,1953921.747089386,0.0
2022-12-14,2500000.0,1804309.4201164246,0.0
2022-12-15,2500000.0,1754957.4201164246,0.0
2022-12-16,2500000.0,1607673.5708732605,0.0
2022-12-19,2496957.349243164,1604443.0216789246,-0.0012170603027343851
2022-12-20,2494225.6018066406,1552123.4719200134,-0.0010940304756712482
2022-12-21,2494225.6018066406,1452619.873287201,0.0
2022-12-22,2487954.5488471985,1496323.2723007202,-0.0025142284462559283
2022-12-23,2423436.8755455017,1978316.2257347107,-0.025932014445999907
2022-12-26,2423436.8755455017,1978316.2257347107,0.0
2022-12-27,2423436.8755455017,1928555.877040863,0.0
2022-12-28,2423436.8755455017,1928555.877040863,0.0
2022-12-29,2419550.6743736267,1922523.7154197693,-0.0016035908387340703
2022-12-30,2417405.4758872986,1970074.6161766052,-0.0008866102739855108
2023-01-02,2417405.4758872986,1873735.4179344177,0.0
2023-01-03,2415656.6751060486,1921728.2187156677,-0.0007234205426824847
2023-01-04,2415656.6751060486,1871856.2179832458,0.0
2023-01-05,2412453.4758872986,1918005.0187644958,-0.0013260159242659553
2023-01-06,2412453.4758872986,1868032.0187644958,0.0
2023-01-10,2412453.4758872986,1818038.369688034,0.0
2023-01-12,2406193.795101166,1861723.64935112,-0.0025947363746903207
2023-01-13,2406193.795101166,1811922.1512432098,0.0
2023-01-16,2406193.795101166,1762065.9503765106,0.0
2023-01-17,2406193.795101166,1662559.8995800018,0.0
2023-01-19,2403323.795101166,1709343.8986034393,-0.0011927551329585784
2023-01-20,2403323.795101166,1709343.8986034393,0.0
2023-01-23,2390730.396663666,1843189.6971549988,-0.005239992406836702
2023-01-24,2390730.396663666,1843189.6971549988,0.0
2023-01-25,2390730.396663666,1843189.6971549988,0.0
2023-01-27,2373117.84343338,1925281.0967597961,-0.007367017734356218
2023-01-30,2373117.84343338,1925281.0967597961,0.0
2023-02-01,2366849.34343338,1968901.8961524963,-0.00264146174508173
2023-02-02,2366849.34343338,1919002.6974220276,0.0
2023-02-03,2360389.594669342,1962540.1974220276,-0.002729260644307674
2023-02-06,2360389.594669342,1962540.1974220276,0.0
2023-02-07,2356853.594669342,2008903.3961524963,-0.0014980577816414709
2023-02-09,2356853.594669342,2008903.3961524963,0.0
2023-02-13,2347336.595615387,2049187.8952064514,-0.004038010284338589
2023-02-14,2347336.595615387,1949594.645816803,0.0
2023-02-15,2347336.595615387,1949594.645816803,0.0
2023-02-17,2347336.595615387,1949594.645816803,0.0
2023-02-20,2347336.595615387,1901229.846988678,0.0
2023-02-21,2347336.595615387,1901229.846988678,0.0
2023-02-22,2347336.595615387,1851395.0456581116,0.0
2023-02-23,2347336.595615387,1804096.2956581116,0.0
2023-02-24,2347336.595615387,1804096.2956581116,0.0
2023-02-27,2343659.0962257385,1751432.6973304749,-0.0015666689628226482
2023-03-03,2343659.0962257385,1751432.6973304749,0.0
2023-03-06,2343659.0962257385,1702652.6973304749,0.0
2023-03-08,2343659.0962257385,1604696.6492347717,0.0
2023-03-09,2343659.0962257385,1604696.6492347717,0.0
2023-03-10,2343659.0962257385,1604696.6492347717,0.0
2023-03-13,2338100.0962257385,1499747.0499916077,-0.0023719319968301678
2023-03-14,2338100.0962257385,1499747.0499916077,0.0
2023-03-15,2338100.0962257385,1499747.0499916077,0.0
2023-03-16,2340788.0962257385,1503950.6505775452,0.0011496513790574259
2023-03-17,2337850.69437027,1499048.5476036072,-0.001254877304017854
2023-03-21,2333836.192417145,1543814.0456504822,-0.0017171763632263248
2023-03-22,2333836.192417145,1543814.0456504822,0.0
2023-03-23,2330006.3943214417,1491321.3466148376,-0.0016409883899077826
2023-03-24,2326523.193637848,1537336.5472984314,-0.0014949318130983436
2023-03-27,2326523.193637848,1537336.5472984314,0.0
2023-03-28,2322459.0919532776,1533380.446407318,-0.0017468562942695165
2023-03-29,2328910.591281891,1589620.6957359314,0.002777874258782953
2023-03-31,2328910.591281891,1539717.1939964294,0.0
2023-04-03,2328910.591281891,1489734.7916526794,0.0
2023-04-10,2328910.591281891,1440208.3937034607,0.0
2023-04-12,2328910.591281891,1440208.3937034607,0.0
2023-04-13,2328910.591281891,1440208.3937034607,0.0
2023-04-17,2324955.0920143127,1485167.8944358826,-0.0016984332856680995
2023-04-19,2322675.0920143127,1339061.9484825134,-0.0009806641030750685
2023-04-20,2322675.0920143127,1339061.9484825134,0.0
2023-04-21,2322675.0920143127,1190661.588985443,0.0
2023-04-24,2322675.0920143127,1190661.588985443,0.0
2023-04-25,2322675.0920143127,1141538.3883628845,0.0
2023-04-26,2322675.0920143127,1096916.9899253845,0.0
2023-04-28,2319834.391391754,1094205.889339447,-0.0012230297006780022
2023-05-02,2319834.391391754,1045167.891292572,0.0
2023-05-04,2319834.391391754,1045167.891292572,0.0
2023-05-05,2319834.391391754,995546.141292572,0.0
2023-05-08,2319834.391391754,995546.141292572,0.0
2023-05-09,2319834.391391754,895912.741191864,0.0
2023-05-10,2319834.391391754,746437.3983268738,0.0
2023-05-11,2316414.331516266,792663.799571991,-0.0014742689772077044
2023-05-12,2316414.331516266,692853.6003837585,0.0
2023-05-15,2314248.933078766,536473.4978561401,-0.0009348061821403686
2023-05-16,2314248.933078766,486473.69887542725,0.0
2023-05-17,2329132.934940338,402224.10145282745,0.006431461045018683
2023-05-18,2329132.934940338,103940.68987369537,0.0
2023-05-19,2329132.934940338,5068.0897760391235,0.0
2023-05-22,2329132.934940338,5068.0897760391235,0.0
2023-05-23,2340080.935848236,16141.311203956611,0.004700462023297325
2023-05-24,2340080.935848236,16141.311203956611,0.0
2023-05-25,2340080.935848236,16141.311203956611,0.0
2023-05-26,2336047.2340812683,61988.46179294587,-0.0017237445530940976
2023-05-29,2331007.2340812683,7651.564148902893,-0.0021574906219660184
2023-05-30,2331007.2340812683,7651.564148902893,0.0
2023-05-31,2331007.2340812683,7651.564148902893,0.0
2023-06-01,2331007.2340812683,7651.564148902893,0.0
2023-06-02,2331007.2340812683,7651.564148902893,0.0
2023-06-05,2331007.2340812683,7651.564148902893,0.0
2023-06-06,2328255.2321281433,54755.56317234039,-0.0011806063545786172
2023-06-07,2328255.2321281433,54755.56317234039,0.0
2023-06-08,2328255.2321281433,5034.261353492737,0.0
2023-06-09,2328255.2321281433,5034.261353492737,0.0
2023-06-12,2337288.4807243347,15360.110230445862,0.003879836055574737
2023-06-13,2337288.4807243347,15360.110230445862,0.0
2023-06-14,2345584.0842399597,72020.51257419586,0.0035492424593879246
2023-06-15,2345584.0842399597,22117.26257419586,0.0
2023-06-16,2345584.0842399597,22117.26257419586,0.0
2023-06-19,2345584.0842399597,22117.26257419586,0.0
2023-06-20,2345584.0842399597,22117.26257419586,0.0
2023-06-21,2345584.0842399597,22117.26257419586,0.0
2023-06-22,2345584.0842399597,22117.26257419586,0.0
2023-06-23,2345584.0842399597,22117.26257419586,0.0
2023-06-26,2345584.0842399597,22117.26257419586,0.0
2023-06-27,2345584.0842399597,22117.26257419586,0.0
2023-06-28,2345584.0842399597,22117.26257419586,0.0
2023-06-30,2345584.0842399597,22117.26257419586,0.0
2023-07-03,2352998.0881462097,27743.113404273987,0.003160834845386651
2023-07-04,2352998.0881462097,27743.113404273987,0.0
2023-07-05,2352998.0881462097,27743.113404273987,0.0
2023-07-06,2352998.0881462097,381.6641855239868,0.0
2023-07-07,2352998.0881462097,381.6641855239868,0.0
2023-07-10,2348899.4864616394,46079.21362400054,-0.0017418635846828678
2023-07-11,2348899.4864616394,46079.21362400054,0.0
2023-07-12,2348899.4864616394,46079.21362400054,0.0
2023-07-13,2348899.4864616394,46079.21362400054,0.0
2023-07-14,2348899.4864616394,46079.21362400054,0.0
2023-07-17,2348899.4864616394,46079.21362400054,0.0
2023-07-18,2348899.4864616394,46079.21362400054,0.0
2023-07-19,2365447.7831840515,118226.36047458649,0.007045127651392313
2023-07-20,2365447.7831840515,118226.36047458649,0.0
2023-07-21,2376677.885417938,129547.96045017242,0.004747558713289468
2023-07-24,2386007.635417938,89670.28418064117,0.003925542479796151
2023-07-25,2386007.635417938,39910.784180641174,0.0
2023-07-26,2386007.635417938,39910.784180641174,0.0
2023-07-27,2389600.135417938,43312.08490085602,0.0015056531868016254
2023-07-28,2389600.135417938,43312.08490085602,0.0
2023-07-31,2389600.135417938,43312.08490085602,0.0
2023-08-01,2385416.934246063,33150.484864234924,-0.0017505862633135916
2023-08-02,2426232.189022064,176500.05767917633,0.017110323226954494
2023-08-03,2426232.189022064,126811.95691013336,0.0
2023-08-04,2451024.379917145,203917.2569551468,0.010218391713397112
2023-08-07,2472638.2784557343,325479.65734291077,0.008818312341438261
2023-08-08,2472638.2784557343,275521.9553165436,0.0
2023-08-09,2478129.4806041718,330316.8063907623,0.0022207866780525887
2023-08-10,2478129.4806041718,330316.8063907623,0.0
2023-08-11,2490294.7831554413,389986.4060001373,0.004909066554627195
2023-08-14,2490294.7831554413,389986.4060001373,0.0
2023-08-16,2496702.681898117,446037.2555332184,0.0025731486834488226
2023-08-17,2496702.681898117,396799.9540195465,0.0
2023-08-18,2504243.2837047577,353320.70314979553,0.003020224178598596
2023-08-21,2504243.2837047577,353320.70314979553,0.0
2023-08-22,2504243.2837047577,203949.50246620178,0.0
2023-08-23,2504243.2837047577,203949.50246620178,0.0
2023-08-24,2504243.2837047577,154126.8514957428,0.0
2023-08-25,2504243.2837047577,104154.8495426178,0.0
2023-08-28,2501683.385755539,102198.45061683655,-0.0010222241448648584
2023-08-29,2505505.284193039,155446.15276527405,0.0015277306709799987
2023-08-30,2505505.284193039,155446.15276527405,0.0
2023-08-31,2511278.782728195,210721.15276527405,0.002304325028400722
2023-09-01,2509222.481946945,256130.45354652405,-0.0008188261675257102
2023-09-04,2509222.481946945,256130.45354652405,0.0
2023-09-05,2521812.8813610077,317714.45354652405,0.005017649692144133
2023-09-06,2521812.8813610077,317714.45354652405,0.0
2023-09-08,2521812.8813610077,317714.45354652405,0.0
2023-09-11,2521812.8813610077,317714.45354652405,0.0
2023-09-12,2521812.8813610077,267734.4547672272,0.0
2023-09-13,2521812.8813610077,217761.50254249573,0.0
2023-09-14,2521812.8813610077,217761.50254249573,0.0
2023-09-15,2521812.8813610077,171300.50156593323,0.0
2023-09-18,2521812.8813610077,78160.6999912262,0.0
2023-09-20,2521812.8813610077,29459.301065444946,0.0
2023-09-21,2521812.8813610077,29459.301065444946,0.0
2023-09-22,2521812.8813610077,29459.301065444946,0.0
2023-09-25,2563160.7343883514,121841.70328712463,0.016396082886620977
2023-09-26,2560550.7343883514,168387.70426368713,-0.0010182740258866119
2023-09-27,2560550.7343883514,69226.30412483215,0.0
2023-09-28,2560550.7343883514,69226.30412483215,0.0
2023-09-29,2560550.7343883514,19641.052965164185,0.0
2023-10-03,2560550.7343883514,19641.052965164185,0.0
2023-10-04,2560550.7343883514,19641.052965164185,0.0
2023-10-05,2560550.7343883514,19641.052965164185,0.0
2023-10-06,2629410.977186203,238138.02205085754,0.02689274688958676
2023-10-09,2624102.477186203,324961.0215625763,-0.002018893222116569
2023-10-10,2624102.477186203,275360.7715625763,0.0
2023-10-11,2624102.477186203,175607.52073860168,0.0
2023-10-12,2624102.477186203,125934.26909065247,0.0
2023-10-13,2628468.477186203,130474.81767463684,0.0016638069732253236
2023-10-16,2656128.790052414,257463.95924568176,0.0105233572729857
2023-10-17,2669157.193128586,320018.7602710724,0.004905034396285757
2023-10-18,2669157.193128586,270459.49342536926,0.0
