symbol,entry_date,entry_price,exit_date,exit_price,size,pnl,reason,entry_type
INFY.NS,2022-12-07,1605.5,2022-12-19,1507.3499755859375,31,-3042.6507568359375,SL,20dma
ECLERX.NS,2022-12-06,1417.949951171875,2022-12-20,1339.9000244140625,35,-2731.7474365234375,SL,20dma
SJVN.NS,2022-12-14,38.650001525878906,2022-12-22,33.79999923706055,1293,-6271.052959442139,SL,20dma
RALLIS.NS,2022-12-20,248.5500030517578,2022-12-23,219.25,201,-5889.30061340332,SL,20dma
ACC.NS,2022-12-20,2592.5,2022-12-23,2374.10009765625,19,-4149.59814453125,SL,20dma
GRAPHITE.NS,2022-12-19,390.2999877929688,2022-12-23,351.6499938964844,128,-4947.199218750007,SL,20dma
MAZDOCK.NS,2022-12-14,439.625,2022-12-23,350.17498779296875,113,-10107.851379394531,SL,20dma
IBREALEST.NS,2022-12-14,84.25,2022-12-23,74.19999694824219,593,-5959.651809692383,SL,20dma
NBCC.NS,2022-12-12,26.76666641235352,2022-12-23,22.733333587646484,1867,-7530.232383728034,SL,20dma
DBL.NS,2022-12-12,228.4499969482422,2022-12-23,208.1000061035156,218,-4436.298004150397,SL,20dma
RELIANCE.NS,2022-12-08,1222.62841796875,2022-12-23,1154.764892578125,40,-2714.541015625,SL,20dma
UPL.NS,2022-12-07,778.1500244140625,2022-12-23,711.2000122070312,64,-4284.80078125,SL,20dma
RAILTEL.NS,2022-12-06,135.6999969482422,2022-12-23,114.4000015258789,368,-7838.3983154296875,SL,20dma
RAJESHEXPO.NS,2022-12-05,735.5,2022-12-23,636.0999755859375,67,-6659.8016357421875,SL,20dma
LTTS.NS,2022-12-16,3983.25,2022-12-29,3659.39990234375,12,-3886.201171875,SL,20dma
TATACONSUM.NS,2022-12-16,801.5499877929688,2022-12-30,766.9500122070312,62,-2145.198486328125,SL,20dma
OFSS.NS,2022-12-07,3108.85009765625,2023-01-03,2999.550048828125,16,-1748.80078125,DMA_CROSS,20dma
JKCEMENT.NS,2022-12-15,3084.5,2023-01-05,2884.300048828125,16,-3203.19921875,SL,20dma
VBL.NS,2022-12-29,271.44000244140625,2023-01-12,237.4199981689453,184,-6259.6807861328125,SL,20dma
ICICIGI.NS,2023-01-02,1241.3499755859375,2023-01-19,1169.5999755859375,40,-2870.0,SL,20dma
YESBANK.NS,2023-01-10,20.649999618530277,2023-01-23,18.149999618530277,2421,-6052.5,SL,20dma
SANOFI.NS,2023-01-02,5835.64990234375,2023-01-23,5626.60009765625,8,-1672.3984375,SL,20dma
POLICYBZR.NS,2022-12-27,465.0499877929688,2023-01-23,419.5499877929688,107,-4868.5,SL,20dma
RBLBANK.NS,2023-01-16,175.5500030517578,2023-01-27,150.64999389648438,284,-7071.602600097656,SL,20dma
IRB.NS,2023-01-06,30.25,2023-01-27,26.649999618530277,1652,-5947.200630187983,SL,20dma
POWERINDIA.NS,2023-01-04,3324.800048828125,2023-01-27,3018.550048828125,15,-4593.75,SL,20dma
NIACL.NS,2023-01-17,125.3499984741211,2023-02-01,109.5999984741211,398,-6268.5,SL,20dma
HINDCOPPER.NS,2023-01-27,123.4499969482422,2023-02-03,107.5,405,-6459.748764038091,SL,20dma
TATASTEEL.NS,2023-02-02,119.9499969482422,2023-02-07,111.4499969482422,416,-3536.0,SL,20dma
FACT.NS,2023-01-13,321.29998779296875,2023-02-13,259.8999938964844,155,-9516.999053955078,SL,20dma
GRINDWELL.NS,2023-02-14,1992.5999755859373,2023-02-27,1845.5,25,-3677.499389648432,SL,20dma
SONACOMS.NS,2023-02-22,457.2000122070313,2023-03-13,406.2000122070313,109,-5559.0,SL,20dma
GODREJCP.NS,2022-12-21,884.3499755859375,2023-03-16,932.3499755859376,56,2688.0000000000064,DMA_CROSS,20dma
TEAMLEASE.NS,2023-03-08,2525.75,2023-03-17,2371.14990234375,19,-2937.40185546875,SL,20dma
PERSISTENT.NS,2023-03-06,2439.0,2023-03-21,2238.27490234375,20,-4014.501953125,SL,20dma
VAIBHAVGBL.NS,2023-03-08,320.29998779296875,2023-03-23,295.75,156,-3829.798095703125,SL,20dma
VOLTAS.NS,2023-03-13,883.9000244140625,2023-03-24,821.7000122070312,56,-3483.20068359375,SL,20dma
SUPRAJIT.NS,2023-03-13,361.25,2023-03-28,331.79998779296875,138,-4064.1016845703125,SL,20dma
SYMPHONY.NS,2022-12-16,905.25,2023-03-29,1022.5499877929688,55,6451.499328613281,SL,20dma
CUMMINSIND.NS,2023-03-23,1630.5,2023-04-17,1498.6500244140625,30,-3955.499267578125,SL,20dma
NTPC.NS,2023-03-31,175.10000610351562,2023-04-19,167.10000610351562,285,-2280.0,SL,20dma
GODREJCP.NS,2023-04-25,963.2000122070312,2023-04-28,907.5,51,-2840.7006225585938,SL,20dma
DRREDDY.NS,2023-05-10,973.4600219726562,2023-05-11,906.4000244140624,51,-3420.059875488287,SL,20dma
ABBOTINDIA.NS,2023-04-26,22310.69921875,2023-05-15,21228.0,2,-2165.3984375,SL,20dma
OIL.NS,2022-12-09,136.43333435058594,2023-05-17,177.10000610351562,366,14884.001861572266,DMA_CROSS,20dma
NCC.NS,2022-12-21,84.0,2023-05-23,102.4000015258789,595,10948.00090789795,SL,20dma
SHILPAMED.NS,2023-05-10,258.45001220703125,2023-05-26,237.5500030517578,193,-4033.7017669677734,SL,20dma
FINCABLES.NS,2023-05-15,885.7000122070312,2023-05-29,795.7000122070312,56,-5040.0,SL,20dma
IEX.NS,2023-05-15,155.8000030517578,2023-06-06,147.1999969482422,320,-2752.001953125,SL,20dma
ZYDUSLIFE.NS,2023-01-17,431.4500122070313,2023-06-12,510.0,115,9033.248596191399,DMA_CROSS,20dma
THERMAX.NS,2023-02-20,2015.199951171875,2023-06-14,2360.85009765625,24,8295.603515625,DMA_CROSS,20dma
INDIAMART.NS,2023-03-16,2400.39990234375,2023-07-03,2771.10009765625,20,7414.00390625,SL,20dma
DEEPAKNTR.NS,2023-07-03,2165.050048828125,2023-07-10,1986.8499755859373,23,-4098.601684570318,SL,20dma
GSPL.NS,2023-05-18,277.8500061035156,2023-07-19,295.04998779296875,179,3078.7967224121094,DMA_CROSS,20dma
TRITURBINE.NS,2023-03-23,314.6499938964844,2023-07-19,399.8999938964844,158,13469.5,DMA_CROSS,20dma
KPITTECH.NS,2023-02-27,816.7999877929688,2023-07-21,1000.9000244140624,61,11230.102233886711,SL,20dma
RAMCOCEM.NS,2023-04-19,742.8499755859375,2023-07-24,882.0999755859375,67,9329.75,SL,20dma
PIIND.NS,2023-05-17,3318.0,2023-07-27,3557.5,15,3592.5,SL,20dma
BLUEDART.NS,2023-07-19,7308.5,2023-08-01,6611.2998046875,6,-4183.201171875,SL,20dma
PRSMJOHNSN.NS,2023-05-09,120.1999969482422,2023-08-02,129.35000610351562,415,3797.2537994384707,DMA_CROSS,20dma
GODREJIND.NS,2023-05-09,444.2000122070313,2023-08-02,476.5,112,3617.5986328124936,DMA_CROSS,20dma
ANGELONE.NS,2023-05-02,1225.949951171875,2023-08-02,1478.6500244140625,40,10108.0029296875,SL,20dma
VBL.NS,2023-04-21,279.44000244140625,2023-08-02,323.239990234375,178,7796.3978271484375,DMA_CROSS,20dma
SUDARSCHEM.NS,2023-03-28,382.6499938964844,2023-08-02,501.8500061035156,130,15496.001586914062,DMA_CROSS,20dma
EDELWEISS.NS,2023-05-18,33.836429595947266,2023-08-04,45.04999923706055,1477,16562.442359924316,SL,20dma
CRISIL.NS,2023-04-21,3266.60009765625,2023-08-04,3815.25,15,8229.74853515625,DMA_CROSS,20dma
ALOKINDS.NS,2023-05-17,13.050000190734863,2023-08-07,15.199999809265137,3831,8236.648538589478,DMA_CROSS,20dma
EQUITASBNK.NS,2023-03-17,68.1500015258789,2023-08-07,86.4000015258789,733,13377.25,SL,20dma
APOLLOHOSP.NS,2023-05-17,4482.14990234375,2023-08-09,4981.35009765625,11,5491.2021484375,SL,20dma
