symbol,entry_date,entry_price,exit_date,exit_price,size,pnl,reason,entry_type
WIPRO.NS,2022-01-10,346.75,2022-01-14,319.8999938964844,70.82906460988865,-1901.7608170818128,SL,20dma
SUNDARMFIN.NS,2022-01-19,2352.300048828125,2022-01-24,2219.35009765625,13.963925333395942,-1856.5031912426987,SL,20dma
TORNTPOWER.NS,2021-12-16,557.4000244140625,2022-01-24,536.9000244140625,32.77564216782082,-671.9006644403269,SL,20dma
TORNTPHARM.NS,2022-01-07,1570.25,2022-01-27,1341.75,12.891363303186676,-2945.6765147781553,SL,20dma
VINATIORGA.NS,2022-01-24,2048.60009765625,2022-02-04,1900.199951171875,11.716027999098058,-1738.6602712811907,SL,20dma
GODREJIND.NS,2022-01-14,631.0999755859375,2022-02-07,591.0499877929688,36.965561815219274,-1480.4702994597637,SL,20dma
BALKRISIND.NS,2022-02-01,2393.64990234375,2022-02-11,2179.050048828125,8.184184333691256,-1756.3247591550166,SL,20dma
VMART.NS,2022-01-25,943.2625122070312,2022-02-11,895.7374877929688,31.695701120170764,-1506.3389695569438,SL,50dma
VMART.NS,2022-01-24,962.5,2022-02-11,895.7374877929688,24.500290073565843,-1635.700915112246,SL,20dma
HLEGLAS.NS,2022-01-27,1234.6600341796875,2022-02-14,1086.2099609375,15.34474205185507,-2277.9280814803597,SL,20dma
HEMIPROP.NS,2022-01-25,135.6999969482422,2022-02-14,120.8000030517578,137.25854789972314,-2045.151525946185,SL,20dma
GMMPFAUDLR.NS,2022-01-18,1639.699951171875,2022-02-14,1524.11669921875,13.123933349021765,-1516.9068948960023,SL,20dma
POWERGRID.NS,2021-12-30,154.0124969482422,2022-02-14,151.3874969482422,154.12698884716053,-404.5833457237964,SL,20dma
JUSTDIAL.NS,2021-12-30,792.7000122070312,2022-02-14,792.75,25.742880642244284,1.2868297879637494,SL,20dma
NLCINDIA.NS,2022-01-24,64.9000015258789,2022-02-21,61.29999923706055,286.55659397154284,-1031.6043941735475,SL,20dma
TCS.NS,2022-01-20,3826.550048828125,2022-02-21,3719.39990234375,6.226857714278848,-667.2087162223391,DMA_CROSS,20dma
HEROMOTOCO.NS,2022-02-11,2718.60009765625,2022-02-24,2490.39990234375,6.8712187305040615,-1568.0134563359352,SL,20dma
CHOLAHLDNG.NS,2022-02-10,679.9500122070312,2022-02-24,637.2999877929688,41.56391146401091,-1772.7018386839975,SL,20dma
JKPAPER.NS,2022-01-25,213.3999938964844,2022-02-24,205.0500030517578,120.23830372003829,-1003.9887352477749,SL,20dma
BIOCON.NS,2022-02-21,387.5,2022-02-28,348.8500061035156,60.65097578286401,-2344.1598438235155,SL,20dma
EICHERMOT.NS,2022-01-21,2711.10009765625,2022-02-28,2589.800048828125,8.127678160571673,-985.887757736629,DMA_CROSS,20dma
BAJAJ-AUTO.NS,2022-02-07,3476.0,2022-03-03,3297.10009765625,6.658917873596246,-1191.2797573014197,SL,20dma
BLUESTARCO.NS,2022-02-24,507.7749938964844,2022-03-30,525.8250122070312,39.56719116899407,714.1885250972516,DMA_CROSS,20dma
HDFCAMC.NS,2022-04-12,2221.39990234375,2022-04-19,2109.550048828125,13.14838983357065,-1470.6454768512103,SL,20dma
ALKEM.NS,2022-04-04,3474.699951171875,2022-04-25,3310.949951171875,9.24146220780981,-1513.2894365288564,SL,20dma
CIPLA.NS,2022-04-01,1014.8499755859376,2022-04-25,953.1500244140624,19.463997971067567,-1200.9277244243474,SL,20dma
CAPLIPOINT.NS,2022-04-26,751.5,2022-04-29,704.4000244140625,32.41728557426615,-1526.8533591102996,SL,20dma
TIMKEN.NS,2022-04-04,2090.199951171875,2022-04-29,1984.1500244140625,8.75007391570248,-927.9446978856936,SL,20dma
BAJAJ-AUTO.NS,2022-04-13,3697.300048828125,2022-05-04,3496.89990234375,6.5343864769204405,-1309.4920071603754,SL,20dma
WESTLIFE.NS,2022-04-19,477.9500122070313,2022-05-05,451.9500122070313,57.36194998397841,-1491.4106995834388,SL,20dma
ABSLAMC.NS,2022-04-27,530.1500244140625,2022-05-06,500.0499877929688,48.71503084481346,-1466.3242124265942,SL,20dma
MOIL.NS,2022-04-25,177.5500030517578,2022-05-06,171.6999969482422,211.48964496100186,-1237.2157138522134,SL,50dma
BAYERCROP.NS,2022-04-22,4842.5498046875,2022-05-06,4518.0498046875,4.4450856474213625,-1442.430292588232,SL,20dma
MOIL.NS,2022-04-13,183.8999938964844,2022-05-06,171.6999969482422,109.90175211070155,-1340.8010403570315,SL,20dma
